Id,Solo_danos,Herido,Muerto,Direccion,Latitud,Longitud,Dia,Mes,A_o,Choque,Atropello,Volcamiento,caida de ocupante,Otro,Rural,Urbana,Masculino,Femenino,<18,18-30,31-60,>60,Tipo_vehiculo,Publico,Particular,Oficial,Diplomatico
722,,1,,"KM 82+700 VIA LA URIBE–CALARCA,Calarcá,Quindio",4.522223,-75.642125,20,09,2024,,1,,,,,1,1,1,,1,1,,BICICLETA - PEATÓN,,1,,
723,,1,,"VARIENTE SUR KM 84+995 VIA LA URIBE–CALARCA,Calarcá,Quindio",4.523494,-75.639697,21,09,2024,1,,,,,,1,2,,,1,1,,MOTOCICLETA - BUS,1,1,,
724,,1,,"VIA VIA CALARCA–CIRCASIA KM 3+550,Calarcá,Quindio",4.5276933,-75.632571,23,09,2024,1,,,,,,1,1,1,,,2,,AUTOMOVIL - AUTOMOVIL,,2,,
725,,1,,"CRA 12 CALLE 13 BARCELONA FRENTE AL 12+70,Calarcá,Quindio",4.429633,-75.717994,29,09,2024,1,,,,,1,,1,1,,,2,,CAMIONETA - AUTOMOVIL,,2,,
726,,1,,"VIA LA URIBE–CALARCA KM 84+900,Calarcá,Quindio",4.523494,-75.639697,29,09,2024,1,,,,,1,,2,,,1,1,,MOTOCICLETA - MOTOCICLETA,,2,,
727,,1,,"CRA 27 CALLE 36 # 26+49,Calarcá,Quindio",4.528824,-75.642747,02,10,2024,1,,,,,,1,1,1,,,1,1,,,,,
728,,1,,"VIA ARMENIA–IBAGUE KILOMETRO 3+750,Calarcá,Quindio",4.526095,-75.624446,02,10,2024,1,,,,,1,,4,2,,1,5,,BUS -MICROBUS,2,,,
729,,1,,"CRA 26 ENTRE CLLE 31 Y 32 CALARCA,Calarcá,Quindio",4.5266936,-75.6409574,03,10,2024,1,,,,,,1,2,,,,2,,MOTOCICLETA- AUTOMOVIL,,2,,
730,,1,,"VIA VIA ARMENIA–IBAGUE KM 1+600,Calarcá,Quindio",4.527427,-75.631278,04,10,2024,1,,,,,,1,1,1,,,2,,MOTOCICLETA-MOTOCICLETA,,2,,
731,,1,,"VIA ARMENIA–IBAGUE 0+850,Calarcá,Quindio",4.528321,-75.635542,04,10,2024,1,,,,,,1,1,1,,,,2,AUTOMOVIL-AUTOMOVIL,,2,,
732,,1,,"VIA ARMENIA–IBAGUE KM 0+470,Calarcá,Quindio",4.526504,-75.636869,05,10,2024,1,,,,,1,,2,,,,1,1,MOTOCICLETA - MOTOCICLETA,,2,,
733,,1,,"CRA 26 CALLE 34+33-10,Calarcá,Quindio",4.5255756,-75.6382168,06,10,2024,1,,,,,,1,2,,,1,1,,AUTOMOVIL- MOTOCICLETA,,2,,
734,,1,,"CRA 22 CON CALLE 35 CALARCA,Calarcá,Quindio",4.527381,-75.6407071,06,10,2024,1,,,,,,1,2,,,,1,1,MOTOCICLETA - MOTOCICLETA,,2,,
735,,1,,"CARRERA 26 CALLAE 35,Calarcá,Quindio",4.5281327,-75.6427087,07,10,2024,1,,,,,,1,1,1,,1,,1,MOTOCICLETA- CAMPERO,,2,,
736,,1,,"CARRERA 25 FRENTE AL 20+23,Calarcá,Quindio",4.5288108,-75.6416001,12,10,2024,1,,,,,,1,1,1,,1,1,,MOTOCICLETA -AUTOMOVIL,,2,,
